similarity_metric,collection,model,top_k,accuracy
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,10,0.5063613231552163
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,15,0.5400763358778626
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,20,0.566793893129771
custom_metric,CUHK_PDNA,PDNA,1,0.005089058524173028
custom_metric,CUHK_PDNA,PDNA,2,0.005089058524173028
custom_metric,CUHK_PDNA,PDNA,5,0.006997455470737914
custom_metric,CUHK_PDNA,PDNA,10,0.013358778625954198
custom_metric,CUHK_PDNA,PDNA,15,0.01653944020356234
custom_metric,CUHK_PDNA,PDNA,20,0.018447837150127225
euclidean,CUHK_PDNA,PDNA,1,0.21501272264631044
euclidean,CUHK_PDNA,PDNA,2,0.25636132315521626
euclidean,CUHK_PDNA,PDNA,5,0.3097964376590331
euclidean,CUHK_PDNA,PDNA,10,0.3651399491094148
euclidean,CUHK_PDNA,PDNA,15,0.39122137404580154
euclidean,CUHK_PDNA,PDNA,20,0.41921119592875317
custom_metric,CUHK_PDNA,PDNA,1,0.005089058524173028
custom_metric,CUHK_PDNA,PDNA,2,0.0057251908396946565
custom_metric,CUHK_PDNA,PDNA,5,0.00826972010178117
custom_metric,CUHK_PDNA,PDNA,10,0.014631043256997456
custom_metric,CUHK_PDNA,PDNA,15,0.019720101781170483
custom_metric,CUHK_PDNA,PDNA,20,0.022264631043257
euclidean,CUHK_PDNA,PDNA,1,0.20928753180661577
euclidean,CUHK_PDNA,PDNA,2,0.2455470737913486
euclidean,CUHK_PDNA,PDNA,5,0.30279898218829515
euclidean,CUHK_PDNA,PDNA,10,0.3555979643765903
euclidean,CUHK_PDNA,PDNA,15,0.3905852417302799
euclidean,CUHK_PDNA,PDNA,20,0.41475826972010177
custom_metric,CUHK_PDNA,PDNA,1,0.005089058524173028
custom_metric,CUHK_PDNA,PDNA,2,0.005089058524173028
custom_metric,CUHK_PDNA,PDNA,5,0.009541984732824428
custom_metric,CUHK_PDNA,PDNA,10,0.01272264631043257
custom_metric,CUHK_PDNA,PDNA,15,0.01653944020356234
custom_metric,CUHK_PDNA,PDNA,20,0.021628498727735368
custom_metric,CUHK_PDNA,PDNA,1,0.006361323155216285
custom_metric,CUHK_PDNA,PDNA,2,0.006361323155216285
custom_metric,CUHK_PDNA,PDNA,5,0.007633587786259542
custom_metric,CUHK_PDNA,PDNA,10,0.011450381679389313
custom_metric,CUHK_PDNA,PDNA,15,0.01717557251908397
custom_metric,CUHK_PDNA,PDNA,20,0.022900763358778626
euclidean,CUHK_PDNA,PDNA,1,0.21755725190839695
euclidean,CUHK_PDNA,PDNA,2,0.26017811704834604
euclidean,CUHK_PDNA,PDNA,5,0.31361323155216286
euclidean,CUHK_PDNA,PDNA,10,0.361323155216285
euclidean,CUHK_PDNA,PDNA,15,0.3893129770992366
euclidean,CUHK_PDNA,PDNA,20,0.4198473282442748
custom_metric,CUHK_PDNA,PDNA,1,0.0057251908396946565
custom_metric,CUHK_PDNA,PDNA,2,0.006361323155216285
custom_metric,CUHK_PDNA,PDNA,5,0.006997455470737914
custom_metric,CUHK_PDNA,PDNA,10,0.011450381679389313
custom_metric,CUHK_PDNA,PDNA,15,0.015903307888040712
custom_metric,CUHK_PDNA,PDNA,20,0.017811704834605598
euclidean,CUHK_PDNA,PDNA,1,0.205470737913486
euclidean,CUHK_PDNA,PDNA,2,0.24872773536895673
euclidean,CUHK_PDNA,PDNA,5,0.3104325699745547
euclidean,CUHK_PDNA,PDNA,10,0.3606870229007634
euclidean,CUHK_PDNA,PDNA,15,0.39567430025445294
euclidean,CUHK_PDNA,PDNA,20,0.4179389312977099
custom_metric,CUHK_PDNA,PDNA,1,0.004452926208651399
custom_metric,CUHK_PDNA,PDNA,2,0.004452926208651399
custom_metric,CUHK_PDNA,PDNA,5,0.00826972010178117
custom_metric,CUHK_PDNA,PDNA,10,0.010814249363867684
custom_metric,CUHK_PDNA,PDNA,15,0.013994910941475827
custom_metric,CUHK_PDNA,PDNA,20,0.020356234096692113
custom_metric,CUHK_PDNA,PDNA,1,0.0031806615776081423
custom_metric,CUHK_PDNA,PDNA,2,0.003816793893129771
custom_metric,CUHK_PDNA,PDNA,5,0.006361323155216285
custom_metric,CUHK_PDNA,PDNA,10,0.010814249363867684
custom_metric,CUHK_PDNA,PDNA,15,0.013994910941475827
custom_metric,CUHK_PDNA,PDNA,20,0.018447837150127225
euclidean,CUHK_PDNA,PDNA,1,0.21564885496183206
euclidean,CUHK_PDNA,PDNA,2,0.255089058524173
euclidean,CUHK_PDNA,PDNA,5,0.3110687022900763
euclidean,CUHK_PDNA,PDNA,10,0.3651399491094148
euclidean,CUHK_PDNA,PDNA,15,0.393765903307888
euclidean,CUHK_PDNA,PDNA,20,0.41921119592875317
